model,term,estimate,se,df,ci_low,ci_high,p_value
Alternative count + TEFCA model,state_NE,-1.6917862607293657,1.3035448410092223,114452.61576023008,-4.246714220330343,0.8631416988716119,0.19434661787346308
Alternative count + TEFCA model,state_NH,0.4787841915949983,1.2162943669205843,88163.86152767285,-1.9051416900799714,2.8627100732699677,0.693846535937231
Alternative count + TEFCA model,state_NJ,-3.686138836406326,1.1094334330888063,60371.58053945287,-5.860632003999133,-1.511645668813519,0.0008925431191590719
Alternative count + TEFCA model,state_NM,-3.669200526094424,1.1914793808333328,71954.87257273284,-6.004496483234661,-1.3339045689541873,0.0020740321477539635
Alternative count + TEFCA model,state_NV,-1.5842227560611064,1.557509417502757,174913.69167428277,-4.636906243851803,1.4684607317295908,0.3090828577904858
Alternative count + TEFCA model,state_NY,-2.9936103902833224,1.0400386933575003,47517.277110109964,-5.032100696393014,-0.9551200841736303,0.003999212579070403
Alternative count + TEFCA model,state_OH,-1.262648106322119,0.9796265169211126,35981.726187321234,-3.1827453865916002,0.6574491739473622,0.19743848252137286
Alternative count + TEFCA model,state_OK,-1.413212660103396,1.1471220369968544,63524.395698958004,-3.6615733777096526,0.8351480575028605,0.2179672203218669
Alternative count + TEFCA model,state_OR,-2.5480643828998923,1.2097418409152945,81367.42301761899,-4.919150092283816,-0.17697867351596797,0.03518242167080737
Alternative count + TEFCA model,state_PA,-1.500716390468091,0.9940171145959755,36401.33053738028,-3.4490189172103385,0.44758613627415667,0.13111615080366762
Alternative count + TEFCA model,state_RI,-2.876553990114587,1.2489081477962514,93691.01584150526,-5.324400602745824,-0.4287073774833505,0.021266676457841274
Alternative count + TEFCA model,state_SC,-0.8733161659131525,1.0407363548728412,46312.630658492635,-2.913175249858688,1.1665429180323827,0.4013990399138884
Alternative count + TEFCA model,state_SD,-3.1473527643320507,1.2965828392640006,104717.61020180935,-5.688637805364839,-0.6060677232992626,0.015208261316695075
Alternative count + TEFCA model,state_TN,-1.317547697864147,1.0817459369977038,50064.54812896209,-3.43778203374384,0.802686638015546,0.22323633596322007
Alternative count + TEFCA model,state_TX,-1.4735424090960094,0.9871896357664791,43564.1648312115,-3.4084522996411426,0.46136748144912354,0.13553240862871885
Alternative count + TEFCA model,state_UT,-0.04973955168704123,1.159698973644781,39334.89732392007,-2.3227777160152527,2.2232986126411705,0.965789394855643
Alternative count + TEFCA model,state_VA,-2.039881243863583,1.011001040631384,44438.65440412831,-4.021460843605016,-0.05830164412215,0.04363011700751104
Alternative count + TEFCA model,state_VT,-2.155387527970251,1.3576890803072044,133048.86495426318,-4.816433435490181,0.5056583795496787,0.11239247040164717
Alternative count + TEFCA model,state_WA,-0.9673645697750886,1.0246302185811276,43712.38939253261,-2.975658503857699,1.0409293643075215,0.34511819201121396
Alternative count + TEFCA model,state_WI,-0.3891161218841475,1.016282294226639,41205.01471488281,-2.3810513281855004,1.6028190844172052,0.7018092882778622
Alternative count + TEFCA model,state_WV,-1.9192507249593063,1.0893461192632157,53154.623537980515,-4.054378503617173,0.21587705369856014,0.0781025227435485
Alternative count + TEFCA model,state_WY,-0.40506111659226607,1.3517022887657526,72975.37157499995,-3.0543928620228944,2.2442706288383625,0.7644317174549331
